Timestamp,Defrost case 1,Always off,Ambient Dry Bulb Ta,Ambient Dry Bulb Tb,Ambient Wet Bulb,Back Wall,Left Wall,Right Wall,Front Wall,Ceiling,Discharge Air Door 1,Discharge Air Door 2,Return Air Door 1,Return Air Door 2,Air Into Cond Left,Air Into Cond Right,Ait Out of Cond Left ,Air Out of Cond Right ,Air Into Evap Left,Air Into Evap Right,Ait Out of Evap Left ,Air Out of Evap Right ,Discharge Air Sensor ,Defrost Termination Sensor ,Suction Temp into Comp ,Disch Temp Out of Comp ,Comp Dome ,Comp Sump,Cond Inlet Temp,Cond Outlet Temp ,Temp Into TXV,Evap Coil intlet Temp 1,Evap Coil intlet Temp 2,TXV Bulb Temp,Hot Gas Defrost Solenoid Outlet,Liquid Line Solenoid Outlet ,Drain Pan Surface Temp,Bott Left Glass Ext Surface Door 1,Bott Right Glass Ext Surface Door 1,Bott Left Glass Ext Surface Door 2,Bott Right Glass Ext Surface Door 2,Cassette Enclosure Front ,Cassette Enclosure Right ,Cassette Enclosure Back ,Cassette Enclosure Left ,Cassette Enclosure Top ,PS Top shelf LE Rear ,PS Top shelf LE Front,PS Top shelf Ctr Rear ,PS Top shelf Ctr LE Front,PS Top shelf RE Rear ,PS Top shelf RE Front,PS 2nd shelf LE Rear ,PS 2nd shelf LE Front,PS 2nd shelf Ctr Rear ,PS 2nd shelf Ctr LE Front,PS 2nd shelf RE Rear ,PS 2nd shelf RE Front,PS 3rd shelf LE Rear ,PS 3rd shelf LE Front,PS 3rd shelf Ctr Rear ,PS 3rd shelf Ctr LE Front,PS 3rd shelf RE Rear ,PS 3rd shelf RE Front,PS 4th shelf LE Rear ,PS 4th shelf LE Front,PS 4th shelf Ctr Rear ,PS 4th shelf Ctr LE Front,PS 4th shelf RE Rear ,PS 4th shelf RE Front,PS 5th shelf LE Rear ,PS 5th shelf LE Front,PS 5th shelf Ctr Rear ,PS 5th shelf Ctr LE Front,PS 5th shelf RE Rear ,PS 5th shelf RE Front,PS BC shelf LE Rear ,PS BC shelf LE Front,PS BC shelf Ctr Rear ,PS BC shelf Ctr LE Front,PS BC shelf RE Rear ,PS BC shelf RE Front,Suction Pressure ,Liquid Pressure ,Unit Volts,Unit Amps,Unit Watts ,Case Volts,Case Amps,Case Watts,Run Time,S.H. ,Evap,Liqcond,AVG Prod Temp,Total Unit Watts,Total Case Watts
5/12/2026 10:22,0,0,72.855575,72.518003,63.983168,73.461026,72.021035,72.595631,74.611017,73.433273,82.523212,82.385444,82.778877,82.292758,82.726706,82.344427,82.394657,82.410571,82.665562,82.469484,82.688038,82.538155,82.839725,82.750985,82.576943,82.350404,82.375113,82.071441,82.091957,82.589493,82.766577,82.661503,82.505231,82.200767,82.454146,82.764498,82.8637,82.715521,82.944385,82.928063,82.175587,82.097672,82.080077,82.618993,82.617318,82.559959,82.312404,82.375643,82.071698,82.10228,82.116104,82.634065,82.529812,82.59136,82.492895,82.726513,82.142458,82.290316,82.173875,82.093027,82.10993,82.04751,82.143862,82.174022,82.9418,82.554592,83.02215,82.790136,83.14544,82.754974,83.480087,82.922381,82.883525,82.438923,82.909055,82.773529,83.118798,82.520244,82.902651,82.066444,82.892733,82.441436,11.598127,172.207399,121.24,2.259,273.2,120.91,6.266,748.8,36.772006,101.112907,-18.91214,99.190193,82.546852,2.122571,5.846901
5/12/2026 10:23,0,0,72.822632,72.600273,63.810346,73.479457,72.103925,72.638649,74.560921,73.501597,82.624639,82.509499,82.917498,82.746724,82.739502,82.2609,82.500287,82.463439,82.776601,82.628251,82.89406,82.766398,82.77592,82.731548,82.274059,82.181492,82.42022,82.170601,82.352385,82.310086,82.814612,82.722102,82.678765,82.341277,82.513387,82.811149,82.940478,82.791476,82.97413,82.972874,82.239141,82.16542,82.042678,82.65294,82.686013,82.603538,82.378594,82.438478,82.073679,82.171703,82.138192,82.690199,82.569625,82.660895,82.521387,82.781788,82.1711,82.35832,82.237281,82.192881,82.145122,82.104907,82.167323,82.252352,83.002615,82.643903,83.110994,82.856541,83.204706,82.818452,83.529244,82.994168,82.967485,82.510365,82.969996,82.831934,83.162117,82.604625,82.990734,82.12152,82.949489,82.535487,11.597592,168.984784,121.58,0.382,45.7,121.55,6.162,734.9,96.772168,101.254372,-18.913095,97.85796,82.607172,4.464755,18.237851
5/12/2026 10:24,0,0,73.061355,72.649319,64.091432,73.429307,72.126595,72.750673,74.55388,73.393408,82.696131,82.478836,83.024542,82.876809,82.967039,82.680739,82.547924,82.538294,82.781109,82.565777,82.930381,82.79226,82.962854,82.906773,82.343495,82.229574,82.591808,82.269364,82.471766,82.345716,82.927651,82.774041,82.693243,82.354923,82.583555,82.919162,82.9924,82.863078,83.071979,83.057752,82.310304,82.231144,82.209363,82.725515,82.769887,82.680722,82.450851,82.522872,82.189257,82.259625,82.255856,82.770305,82.670674,82.721747,82.605355,82.881635,82.279389,82.460724,82.318339,82.255096,82.267469,82.17532,82.290924,82.356677,83.113903,82.653511,83.158255,82.900254,83.247982,82.850866,83.59414,83.043203,83.036303,82.58215,83.079822,82.853215,83.239871,82.617956,83.036466,82.172324,83.027515,82.576707,11.586219,171.083683,120.97,2.256,273.1,121.05,6.125,733.2,156.772637,101.288325,-18.933402,98.727572,82.681016,6.048038,30.459696
5/12/2026 10:25,0,0,73.189618,72.628556,64.360957,73.433796,72.262045,72.872048,74.544654,73.404906,82.753876,82.525708,82.974477,82.483444,83.058301,82.724729,82.655081,82.621169,82.849312,82.646315,82.915886,82.747623,83.097216,83.036122,82.6831,82.472501,82.681007,82.343939,82.425629,82.770199,83.002906,82.87526,82.679974,82.416611,82.638947,82.975863,83.0696,82.924805,83.103773,83.116744,82.368426,82.306443,82.245712,82.803761,82.84227,82.764833,82.488285,82.601753,82.21723,82.320264,82.288852,82.848129,82.728833,82.844362,82.662878,82.927421,82.336043,82.542489,82.388392,82.353633,82.318317,82.276435,82.343027,82.455677,83.123357,82.743765,83.223773,82.966187,83.331877,82.931869,83.660032,83.092399,83.065679,82.639173,83.123005,82.921041,83.314779,82.69543,83.089261,82.222658,83.104176,82.638755,11.588552,168.281004,121.19,2.258,273.8,121.42,6.039,724.2,216.772211,101.345846,-18.929235,97.564742,82.745257,10.607478,42.596276
5/12/2026 10:26,0,0,73.302332,72.755321,64.479136,73.449708,72.358066,72.899828,74.599547,73.491611,82.840993,82.781555,83.157093,83.023192,83.034071,82.618854,82.750161,82.712067,82.977851,82.824396,83.05918,82.927776,83.016496,82.933216,82.57814,82.488118,82.661455,82.39683,82.552947,82.647567,83.069466,82.954385,82.774037,82.475111,82.70371,83.041839,83.150214,82.995389,83.201534,83.196514,82.465001,82.405119,82.355703,82.896126,82.904915,82.868084,82.58178,82.665513,82.329738,82.406376,82.375386,82.91496,82.792324,82.886499,82.746307,83.033422,82.439698,82.636071,82.481153,82.431742,82.424643,82.356801,82.426737,82.506716,83.227712,82.795845,83.311801,83.014103,83.427876,82.955515,83.749158,83.148112,83.171449,82.712344,83.205339,83.000218,83.400612,82.775882,83.19817,82.303617,83.213288,82.723647,11.588018,174.900332,121.39,2.259,274.4,121.16,6.341,761.8,278.772153,101.4053,-18.930189,100.290608,82.82696,12.534228,55.104934
5/12/2026 10:27,0,0,73.311369,72.749118,64.556697,73.43995,72.562248,72.870584,74.590419,73.467659,82.922761,82.708452,83.222661,83.037302,83.072426,82.691555,82.772499,82.754918,82.981351,82.825952,83.156974,83.004242,83.093766,83.0197,82.495009,82.420473,82.736162,82.41126,82.644683,82.464643,83.090434,82.969497,82.858388,82.565772,82.791418,83.124577,83.206584,83.063067,83.271505,83.266485,82.510497,82.466111,82.403298,82.984163,82.954449,82.90632,82.657015,82.724414,82.360582,82.489979,82.455643,82.989603,82.863211,82.964912,82.827388,83.104433,82.458968,82.685479,82.541456,82.481161,82.473717,82.426398,82.493816,82.574626,83.281425,82.87972,83.35756,83.148369,83.506035,83.109037,83.813131,83.26066,83.245646,82.811277,83.274095,83.084175,83.438521,82.854839,83.263603,82.405552,83.256105,82.800394,11.606973,180.414125,121.11,2.257,273.2,121.09,6.56,779.9,338.771986,101.462122,-18.89635,102.508473,82.898971,17.092771,68.112926
5/12/2026 10:28,0,0,73.428753,72.712425,64.638104,73.448958,72.738575,72.877481,74.585655,73.486164,82.842406,82.614681,83.070735,82.731726,83.165486,82.913572,82.699247,82.75576,82.905188,82.746378,83.03684,82.920081,83.263805,83.275937,82.636672,82.521115,82.73254,82.364921,82.456802,82.651078,83.003092,82.896791,82.906813,82.65566,82.862029,83.192297,83.28392,83.143344,83.366241,83.341142,82.595536,82.536919,82.494629,83.061599,83.043187,83.003851,82.720664,82.795593,82.446055,82.545293,82.51389,83.063273,82.934799,83.072479,82.896883,83.192735,82.529756,82.749132,82.587955,82.544829,82.53037,82.469237,82.562192,82.655974,83.36303,82.924116,83.427029,83.156835,83.561756,83.135496,83.863833,83.323944,83.297005,82.86308,83.30579,83.162554,83.511013,82.894734,83.305244,82.447234,83.302444,82.831688,11.631858,178.753338,121.08,2.258,273.4,120.95,6.43,769.4,398.771645,101.507612,-18.851952,101.845325,82.957998,21.641967,81.033159
5/12/2026 10:29,0,0,73.485743,72.720757,64.663621,73.461847,72.902236,72.883181,74.547381,73.54601,82.779486,82.719207,82.990477,82.58445,82.957764,82.489752,82.661436,82.675251,82.93979,82.777023,82.964949,82.799626,82.980363,82.921354,82.678923,82.486747,82.570908,82.268561,82.29567,82.768392,82.919909,82.819877,82.930267,82.683726,82.900133,83.269363,83.309524,83.221669,83.393753,83.410066,82.623197,82.595146,82.499263,83.108408,83.078699,83.018441,82.762271,82.855613,82.488795,82.606868,82.567512,83.127237,82.989985,83.114685,82.930112,83.238921,82.564619,82.756359,82.634538,82.601882,82.541135,82.522712,82.583004,82.688925,83.382693,82.993171,83.468021,83.219714,83.594915,83.210928,83.930973,83.337165,83.313511,82.888802,83.3612,83.162364,83.57983,82.97197,83.366488,82.498908,83.35367,82.84904,11.639197,176.653465,121.02,2.256,273.4,121.23,6.318,755.5,458.771713,101.522591,-18.838865,101.000853,83.001626,22.78305,93.748813
5/12/2026 10:30,0,0,73.500213,72.731852,64.546105,73.499273,73.045113,72.949425,74.533319,73.561551,82.731904,82.575747,82.959796,82.462474,82.979443,82.591414,82.636874,82.640641,82.836969,82.696519,82.91376,82.76852,83.064811,83.037193,82.67927,82.43517,82.560368,82.242102,82.216015,82.74027,82.905186,82.78213,83.035444,82.68763,82.935425,83.268387,83.362929,83.227387,83.436357,83.419626,82.665585,82.601111,82.58897,83.131902,83.134831,83.032313,82.82826,82.886857,82.543751,82.604461,82.619114,83.150731,83.017667,83.110981,82.970561,83.237101,82.623557,82.778449,82.677145,82.577503,82.596487,82.510235,82.60821,82.682311,83.416469,83.028637,83.504722,83.26477,83.626989,83.257658,83.958335,83.394244,83.3229,82.917447,83.384391,83.237281,83.606202,82.988317,83.40397,82.520098,83.373516,82.894847,11.640801,175.413003,121.14,2.26,274.1,121.17,6.235,743.5,516.772027,101.523635,-18.836005,100.498802,83.031227,27.186101,105.842823
